procedurecode,procedure name,,band_d,band_c,band_b,band_a,band_special
DRG2480,NEUROGESIC CREAM ,"2,500.00",773.5,1028.755,1471.11965,2250.813065,6189.735929
DRG1230,ASTYMIN CAP,225,80,106.4,152.152,232.79256,640.17954
MED0200,METFORMIN 1000MG GLIMEPIRIDE 1MG,150,180,239.4,342.342,523.78326,1440.403965
DRG4239,DIHYDROCODEINE TAB 30MG,500,150,199.5,285.285,436.48605,1200.336638
DRG2259,LIVOLIN FORTE,316,87.75,116.7075,166.891725,255.3443393,702.1969331
MED0087,HYOSCINE BUTYL BROMIDE 10MG INJECTION,90,75,99.75,142.6425,218.243025,600.1683188
DRG1573,CLINDAMYCIN 300MG CAP,150,195,259.35,370.8705,567.431865,1560.437629
DRG2872,TINIDAZOLE 500MG ,190,123,163.59,233.9337,357.918561,984.2760428
MED0064,AMPICILLIN CLOXACILLIN 250MG/5ML SUSPENSION,480,600,798,1141.14,1745.9442,4801.34655
DRG3082,SITAGLIPTIN 100MG ,390,180,239.4,342.342,523.78326,1440.403965
DRG1453,CARBAMAZEPINE 400MG TAB ,500,200,266,380.38,581.9814,1600.44885
DRG3281,ALBENDAZOLE 200MG TAB ,125,80,106.4,152.152,232.79256,640.17954
DRG1364,BISOPROLOL 10MG ,71,92.3,122.759,175.54537,268.5844161,738.6071443
DRG4147,CEFTAZIDIME 1G INJ,"3,000.00",2210,2939.3,4203.199,6430.89447,17684.95979
DRG2012,GENTAMYCIN EAR/EYE DROP,300,350,465.5,665.665,1018.46745,2800.785488
DRG1456,CARBIROD TAB 500MGX100,150,185,246.05,351.8515,538.332795,1480.415186
DRG1630,CO-TRIMOXAZOLE SYRUP,360,300,399,570.57,872.9721,2400.673275
DRG1068,ALLOPURINOL 300MG TAB,100,60,79.8,114.114,174.59442,480.134655
DRG2301,LOSARTAN/HYDROCHLOROTHIAZIDE 50MG/12.5MG ,171,121.5,161.595,231.08085,353.5537005,972.2726764
DRG1717,DIAZEPAM 10MG INJ,300,180,239.4,342.342,523.78326,1440.403965
DRG1133,AMOXICILLIN CLAVULANIC ACID 457MG SUSPENSION ,"3,800.00",2000,2660,3803.8,5819.814,16004.4885
DRG1371,BONDOMET,65,29.18,38.8094,55.497442,84.91108626,233.5054872
DRG2903,CANDERSARTAN 16MG ,214,200,266,380.38,581.9814,1600.44885
DRG1706,CHLORAMPHENICCOL EYE DROP ,300,250,332.5,475.475,727.47675,2000.561063
DRG1441,CANDESARTAN 8MG,242,150,199.5,285.285,436.48605,1200.336638
DRG1648,CRYSTALLINE PENICILLIN 1MU,200,190,252.7,361.361,552.88233,1520.426408
DRG1546,CIPROFLOXACIN EYE DROPS,800,600,798,1141.14,1745.9442,4801.34655
INP0030,Latex gloves(Full pack),45,58.5,77.805,111.26115,170.2295595,468.1312886
DRG1460,CARVEDILOL 12.5MG TAB,32,41.6,55.328,79.11904,121.0521312,332.8933608
DRG2945,POTASSIUM CHLORIDE 600MG TAB ,41,53.3,70.889,101.37127,155.0980431,426.5196185
DRG2187,Keppra 500mg X6,390,398.9,530.537,758.66791,1160.761902,3192.095231
DRG1607,COGNITOL 5MG X30tab,166,71.43,95.0019,135.852717,207.854657,571.6003068
DRG2537,INSULIN PEN NEEDLES ,185,106,140.98,201.6014,308.450142,848.2378905
DRG1361,BISACODYL 5MG TAB,14,18.2,24.206,34.61458,52.9603074,145.6408454
DRG2754,PROMETHAZINE SYRUP,400,200,266,380.38,581.9814,1600.44885
DRG2469,Nebilong 5mg x 30,216,203.3,270.389,386.65627,591.5840931,1626.856256
DRG1182,ARTIFICIAL TEARS,"9,500.00",2000,2660,3803.8,5819.814,16004.4885
DRG1172,TRYPSIN + CHYMOTRYPSIN ,23,29.9,39.767,56.86681,87.0062193,239.2671031
DRG2150,ISOSORBIDE DINITRATE 5MG TABS,283,40,53.2,76.076,116.39628,320.08977
DRG2646,Parlodel 2.5mg bromokritin,316,410.8,546.364,781.30052,1195.389796,3287.321939
DRG2038,GIVING SET,170,100,133,190.19,290.9907,800.224425
MED0019,ATENOLOL 25MG ,28,36.4,48.412,69.22916,105.9206148,291.2816907
DRG2777,Puritan's pride Vitamin B-6 100mg,200,91.4,121.562,173.83366,265.9654998,731.4051245
DRG1562,ARTHEMETER 180MG/LUMEFANTRINE 1080MG ORAL SUSPENSION ,"1,100.00",591.5,786.695,1124.97385,1721.209991,4733.327475
DRG4648,ORAL CONTRACEPTIVE,"1,700.00",135,179.55,256.7565,392.837445,1080.302974
DRG1462,CARVEDILOL 3.125MG,32,41.6,55.328,79.11904,121.0521312,332.8933608
DRG2929,SIMVASTATIN 10MG,92,50.86,67.6438,96.730634,147.99787,406.9941425
PCD788,BLOOD TRANSFUSION RH +VE BLOOD WITH SET,32,41.6,55.328,79.11904,121.0521312,332.8933608
DRG1661,MISOPRISTOL 200MCG TABLET ,175,227.5,302.575,432.68225,662.0038425,1820.510567
MED0521,prednisolone 20mg,7,9.1,12.103,17.30729,26.4801537,72.82042268
DRG2122,HYDROXY UREA 500MG,"3,200.00",143.65,191.0545,273.207935,418.0081406,1149.522387
DRG1372,BONDURETIC (SACHET),18,9.23,12.2759,17.554537,26.85844161,73.86071443
DRG1282,BACLOFEN 10MGX84 TAB,148,70,93.1,133.133,203.69349,560.1570975
DRG2804,RANITIDINE 150MG TAB,75,50,66.5,95.095,145.49535,400.1122125
DRG4196,CLOTRIMAZOLE VAGINAL CREAM,700,878,1167.74,1669.8682,2554.898346,7025.970452
DRG1283,MUPIROCIN CREAM,"2,500.00",2800,3724,5325.32,8147.7396,22406.2839
DRG1987,FUROSEMIDE 20MG ,18,15,19.95,28.5285,43.648605,120.0336638
DRG1977,FRUSEMIDE 20MG INJ,50,65,86.45,123.6235,189.143955,520.1458763
DRG3087,SITAGLIPTIN/METFORMIN 50MG/1000MG TAB ,354,171,227.43,325.2249,497.594097,1368.383767
DRG2479,NEUROBION TAB,35,45.5,60.515,86.53645,132.4007685,364.1021134
DRG1631,COTRIMOXAZOLE 480MG  TAB,19,24.7,32.851,46.97693,71.8747029,197.655433
DRG2825,SALBUTAMOL NEBULES 2.5MG ,450,350,465.5,665.665,1018.46745,2800.785488
DRG1620,CONCOR 2.5MG TABS X30,"7,500.00",71.72,95.3876,136.404268,208.69853,573.9209575
DRG1417,CALCIUM/VITAMIN D ,"1,400.00",23.4,31.122,44.50446,68.0918238,187.2525155
DRG1899,EXCELGAB pregabalin caps 75mg * 30,"3,000.00",162.23,215.7659,308.545237,472.0742126,1298.204085
