,,USING 2025 PLAN PRICE DIFFERENCE,,,,
procedurecode,procedure name,band_d,band_c,band_b,band_a,band_special
DRG1282,BACLOFEN 10MGX84 TAB,70,93.1,132.202,204.9131,409.8262
DRG2804,RANITIDINE 150MG TAB,90,119.7,169.974,263.4597,526.9194
DRG4196,CLOTRIMAZOLE VAGINAL CREAM,1500,1995,2832.9,4390.995,8781.99
DRG1283,MUPIROCIN CREAM,2800,3724,5288.08,8196.524,16393.048
DRG1987,FUROSEMIDE 20MG,80,106.4,151.088,234.1864,468.3728
DRG1977,FRUSEMIDE 20MG INJ,600,798,1133.16,1756.398,3512.796
DRG3087,SITAGLIPTIN/METFORMIN 50MG/1000MG TAB,171,227.43,322.9506,500.57343,1001.14686
DRG2479,NEUROBION TAB,45.5,60.515,85.9313,133.193515,266.38703
DRG1631,COTRIMOXAZOLE 480MG  TAB,60,79.8,113.316,175.6398,351.2796
DRG2825,SALBUTAMOL NEBULES 2.5MG,700,931,1322.02,2049.131,4098.262
DRG1417,CALCIUM/VITAMIN D,23.4,31.122,44.19324,68.499522,136.999044
DRG3251,LATANOPROST EYE DROP,5132,6825.56,9692.2952,15023.05756,30046.11512
DRG3071,IRON MAGANESE COPPER (TOTHEMA),500,665,944.3,1463.665,2927.33
DRG3143,URSOLIV 250MG * 50,1248,1659.84,2356.9728,3653.30784,7306.61568
DRG2248,LIQUID PARAFFIN,1000,1330,1888.6,2927.33,5854.66
MED0344,TAB CITICHOLINE 500MG,260.85,346.9305,492.64131,763.5940305,1527.188061
DRG3132,DEXTROSE 10% IN WATER,800,1064,1510.88,2341.864,4683.728
DRG3200,DICLOFENAC 50MG SUPPOSITORIES,226.85,301.7105,428.42891,664.0648105,1328.129621
DRG2429,CLOTRIMAZOLE VAGINAL TABLET 100MG,100,133,188.86,292.733,585.466
DRG4027,ALBENDAZOLE 100MG PER 5ML SUSP,500,665,944.3,1463.665,2927.33
DRG3161,SALBUTAMOL NEBULES 5MG/VIAL,800,1064,1510.88,2341.864,4683.728
DRG2149,ISOSORBIDE DINITRATE 10MG,65,86.45,122.759,190.27645,380.5529
DRG4455,ISOSORBIDE MONONITRATE 60MG TA,63,83.79,118.9818,184.42179,368.84358
DRG2571,OLOPATADINE EYE DROP,3500,4655,6610.1,10245.655,20491.31
DRG1150,AMPICILLIN CLOXACILLIN 500MG INJECTION,800,1064,1510.88,2341.864,4683.728
DRG2129,RANITIDINE 300MG TAB,60,79.8,113.316,175.6398,351.2796
DRG1719,DICLOFENAC EYE DROP,1300,1729,2455.18,3805.529,7611.058
DRG2624,OXYTOCIN INJ 10 UNIT,500,665,944.3,1463.665,2927.33
DRG3193,VITAMIN E 1000IU,100,133,188.86,292.733,585.466
DRG1823,MULTIVITAMIN,15,19.95,28.329,43.90995,87.8199
DRG4860,TORSEMIDE 10MG TAB,56.12,74.6396,105.988232,164.2817596,328.5635192
DRG1005,50% DEXTROSE,800,1064,1510.88,2341.864,4683.728
DRG1100,AMITRIPTYLINE TABS 10MG,30,39.9,56.658,87.8199,175.6398
DRG3077,TRANEXAMIC ACID 500MG INJ,500,665,944.3,1463.665,2927.33
DRG4185,CLINDAMYCIN 150MG CAP,169,224.77,319.1734,494.71877,989.43754
DRG4220,Dapagliflozin 10mg x28,677.3,900.809,1279.14878,1982.680609,3965.361218
MED0226,ARTESUNATE INJECTION 30MG,600,798,1133.16,1756.398,3512.796
DRG3037,TENORETIC TAB,85.8,114.114,162.04188,251.164914,502.329828
MED0047,NEBIVOLOL 5MG,195,259.35,368.277,570.82935,1141.6587
DRG1407,CABERGOLINE 0.5MG TABS,1022.02,1359.2866,1930.186972,2991.7898066,5983.5796132
DRG2312,PARACETAMOL 125MG SYRUP,600,798,1133.16,1756.398,3512.796
DRG4511,LINAGLIPTIN 5MG,224,297.92,423.0464,655.72192,1311.44384
DRG3160,SALBUTAMOL INHALER,4000,5320,7554.4,11709.32,23418.64
DRG1845,VITAMIN B COMPLEX SYRUP`,800,1064,1510.88,2341.864,4683.728
DRG4490,LABETALOL HCL 50MG INJECTION,1215,1615.95,2294.649,3556.70595,7113.4119
DRG1923,FENOFIBRATE 160MG satchet,139.1,185.003,262.70426,407.191603,814.383206
DRG2933,SIMVASTATINE 20MG,30,39.9,56.658,87.8199,175.6398
DRG1095,AMINOPHYLLINE INJECTION 250MG/AMP,400,532,755.44,1170.932,2341.864
