procedurecode,proceduredesc,tariffamount,tariffname
MED0551,Cetirizine (Syr. Zyncet 60ml),475.20,isalu
DRG1511,CETIRIZINE 10MG,43.20,isalu
DRG4156,CETIRIZINE SYRUP,475.20,isalu
CLI0050,Change Of Central Line,56133.00,isalu
PCD704,Cheiloplasty,528000.00,isalu
DRG4157,CHICKEN POX VACCINE,29959.02,isalu
IMU0001,Chicken Pox Vaccine Varicella,17478.72,isalu
DIAG628,"CHLAMYDIA , NUCLEIC ACID",44000.00,isalu
DIAG703,CHLAMYDIA TRACHOMATIS SPECIFIC ANTIGEN - [SWAB],15000.00,isalu
DRG1526,CHLOPHENAMINE 2MG SYRUP,648.00,isalu
DRG2693,CHLOPHENAMINE 4MG,35.64,isalu
DRG1706,CHLORAMPHENICCOL EYE DROP,840.00,isalu
DRG1519,CHLORAMPHENICOL EYE OINTMENT,848.60,isalu
DRG4158,CHLORAMPHENICOL INJ 1G,2347.88,isalu
DRG1520,CHLORAMPHENICOL INJ. 500MG,288.00,isalu
DRG4160,Chlorhexidine (Emxidine) 25g Gel,1027.48,isalu
DIAG225,Chlorides -  [Serum],700.00,isalu
DRG1523,CHLOROQUINE 300MG TAB,71.15,isalu
DRG1524,CHLOROQUINE INJ 200MG/5ML,1290.37,isalu
DRG1525,CHLOROQUINE SYRUP 75mg/5ml,983.14,isalu
DRG1527,CHLORPHENIRAMINE 4MG TAB,27.60,isalu
DRG1528,CHLORPHENIRAMINE INJ 10MG,500.00,isalu
DRG1832,CHLORPHENIRAMINE SYRUP,800.00,isalu
DRG1529,CHLORPROMAZINE 100MG TAB,184.02,isalu
DRG1530,CHLORPROMAZINE INJ 50MG,1746.36,isalu
DRG1531,CHLORPROPAMIDE 250MG TAB,72.00,isalu
DRG1532,"CHOLECALCIFEROL 5,000 IU SYRUP",1872.00,isalu
DRG1533,"CHOLECALCIFEROL 5,000 IU TAB",216.00,isalu
PCD96,Cholecystectomy,955200.00,isalu
DRG4164,CHOLERA VACCINE,17463.60,isalu
DIAG228,CHOLESTEROL (TOTAL) -  [SERUM],2990.79,isalu
MED0329,CHYMORAL,432.00,isalu
DRG1534,CHYMORAL TAB,195.42,isalu
DRG1536,CICATRIN POWDER,432.00,isalu
DRG1538,CIKLAVIT 200MLS,2232.00,isalu
DRG1540,CIMETIDINE 200 mg,128.07,isalu
DRG1541,CIMETIDINE 200MG INJ,920.11,isalu
DRG1542,CIMETIDINE TAB 400MG,148.70,isalu
DRG1543,,20.00,isalu
DRG2976,CINNARIZINE 25MG,75.00,isalu
DRG1547,CIPROFLOXACIN 200MG INFUSION,1000.00,isalu
DRG0358,CIPROFLOXACIN 500MG,284.59,isalu
